UnityTS,Heart,Light
63779525764238,33708,50536
63779525764248,33596,50612
63779525764258,33476,50872
63779525764268,33384,50649
63779525764278,33294,50624
63779525764288,33208,50634
63779525764298,33132,50952
63779525764308,33080,50656
63779525764318,33036,50728
63779525764329,33004,50761
63779525764339,32976,50808
63779525764349,32976,50821
63779525764359,32986,50712
63779525764369,32986,50744
63779525764379,33012,50756
63779525764389,33026,50752
63779525764399,33032,50864
63779525764409,33028,50716
63779525764419,33012,50916
63779525764430,32996,50980
63779525764440,32987,50688
63779525764450,32952,50816
63779525764460,32909,50716
63779525764470,32881,50708
63779525764480,32837,50720
63779525764490,32814,50968
63779525764500,32768,50905
63779525764510,32737,50920
63779525764520,32708,50833
63779525764530,32676,50864
63779525764531,32632,50949
63779525764541,32609,50888
63779525764551,32592,50884
63779525764561,32572,50936
63779525764571,32560,50560
63779525764581,32528,50652
63779525764591,32504,50952
63779525764601,32492,50660
63779525764611,32472,50864
63779525764621,32456,50484
63779525764631,32452,50904
63779525764643,32440,50616
