OcutimeStamp,UnityTimeStamp,leftPor.x,leftPor.y,rightPor.x,rightPor.y,cameraPosition.x,cameraPosition.y,cameraPosition.z,cameraRotation.x,cameraRotation.y,cameraRotation.z,cameraRotation.w,torsoPosition.x,torsoPosition.y,torsoPosition.z,torsoRotation.x,torsoRotation.y,torsoRotation.z,torsoRotation.w,meanBasePoint.x,meanBasePoint.y,meanBasePoint.z,meanGazeDirection.x,meanGazeDirection.y,meanGazeDirection.z,leftBasePoint.x,leftBasePoint.y,leftBasePoint.z,rightBasePoint.x,rightBasePoint.y,rightBasePoint.z,leftEyeDirection.x,leftEyeDirection.y,leftEyeDirection.z,rightEyeDirection.x,rightEyeDirection.y,rightEyeDirection.z,valL,valR
13749854826,63778385196039,0.4445329,0.5147201,0.33482,0.5203065,-15.15347,2.210092,-1.732865,-0.04757376,-0.7186834,0.05793202,-0.691285,0,0,0,0,0,0,0,15.14982,-2.208168,1.708468,-0.02391177,-0.2489181,-0.9682293,-0.03378235,0.002378586,-0.02589517,0.02648413,0.001469193,-0.02289882,-0.2146301,0.03979492,0.9758759,-0.3416138,0.05160522,0.9384155,True,True
13749862986,63778385196050,0.4442662,0.5147489,0.3349361,0.5200055,-15.1535,2.210072,-1.732829,-0.04771055,-0.7186626,0.05775842,-0.6913118,0,0,0,0,0,0,0,15.14985,-2.20815,1.708432,-0.02390133,-0.2488977,-0.9682348,-0.03378252,0.002378586,-0.02589517,0.02648413,0.001464096,-0.02289882,-0.2152863,0.03987122,0.9757233,-0.3413696,0.05078125,0.9385376,True,True
13749871297,63778385196061,0.4440328,0.5145751,0.3351398,0.5193151,-15.15356,2.210036,-1.732776,-0.04786043,-0.7186868,0.05755815,-0.6912929,0,0,0,0,0,0,0,15.14991,-2.208116,1.708379,-0.02388717,-0.2488965,-0.9682354,-0.03378273,0.00238031,-0.02589778,0.02648413,0.001459808,-0.02289661,-0.2158661,0.03936768,0.9756165,-0.3409576,0.04888916,0.938797,True,True
13749879653,63778385196061,0.4499792,0.5129145,0.3451757,0.5186361,-15.15356,2.210036,-1.732776,-0.04786043,-0.7186868,0.05755815,-0.6912929,0,0,0,0,0,0,0,15.15004,-2.208093,1.708288,-0.02383723,-0.2489081,-0.9682337,-0.03369235,0.002444565,-0.02605919,0.0266503,0.001440674,-0.02291783,-0.2011719,0.03471375,0.9789276,-0.3186646,0.04740906,0.9466705,True,True
13749888262,63778385196072,0.4579023,0.5169764,0.3653843,0.5192844,-15.15357,2.210036,-1.732706,-0.04796394,-0.718754,0.05743752,-0.6912259,0,0,0,0,0,0,0,15.1503,-2.208206,1.70867,-0.02374146,-0.2489146,-0.9682344,-0.03343721,0.002207199,-0.02517351,0.02690848,0.001451553,-0.0228995,-0.1812439,0.04658508,0.9823303,-0.2720642,0.04995728,0.960968,True,True
13749896317,63778385196084,0.4727437,0.5190193,0.3861598,0.522469,-15.15355,2.210017,-1.732665,-0.04804298,-0.7188013,0.05724029,-0.6911876,0,0,0,0,0,0,0,15.15057,-2.208154,1.708628,-0.02359473,-0.2489081,-0.9682397,-0.03317029,0.002263641,-0.02519759,0.0272085,0.001462524,-0.02287602,-0.1434631,0.05281067,0.9882355,-0.2220001,0.05970764,0.9732056,True,True
13749904781,63778385196094,0.4895581,0.5200778,0.4070826,0.5234126,-15.15353,2.210055,-1.732627,-0.04807055,-0.7188454,0.05721943,-0.6911414,0,0,0,0,0,0,0,15.15084,-2.208078,1.708294,-0.02346692,-0.2489217,-0.9682392,-0.03288103,0.002428543,-0.02563861,0.02750069,0.001527023,-0.02302713,-0.09994507,0.05618286,0.9933929,-0.1698608,0.06306458,0.9834442,True,True
13749913132,63778385196094,0.5041888,0.5172291,0.4245722,0.5219505,-15.15353,2.210055,-1.732627,-0.04807055,-0.7188454,0.05721943,-0.6911414,0,0,0,0,0,0,0,15.1511,-2.208123,1.708518,-0.02335505,-0.2489409,-0.968237,-0.03262645,0.002357163,-0.02532823,0.02777289,0.001507248,-0.02288991,-0.06164551,0.04801941,0.996933,-0.1251984,0.05924988,0.9903564,True,True
13749921398,63778385196106,0.5158337,0.5191156,0.4390058,0.5256268,-15.15351,2.210063,-1.732555,-0.04818688,-0.7188568,0.05723814,-0.69112,0,0,0,0,0,0,0,15.1513,-2.20815,1.708487,-0.02329175,-0.2489245,-0.9682428,-0.03243813,0.00241449,-0.02549484,0.0280118,0.001411301,-0.0226405,-0.03091431,0.05361938,0.9980774,-0.08764648,0.07019043,0.9936676,True,True
13749929673,63778385196117,0.5271865,0.5213197,0.454265,0.5235633,-15.15347,2.210078,-1.732502,-0.04821371,-0.7188972,0.0572638,-0.691074,0,0,0,0,0,0,0,15.15142,-2.208163,1.708427,-0.02320871,-0.2489426,-0.9682401,-0.03229764,0.002358307,-0.02534074,0.02820172,0.001472199,-0.02280753,-0.0008850098,0.06010437,0.9981842,-0.0476532,0.06436157,0.9967804,True,True
