UnityTS,GSR,breath,heart
63781302141492,563,31690,36110
63781302141492,565,31926,37224
63781302141503,569,32368,38096
63781302141513,573,32530,39225
63781302141525,575,32684,40432
63781302141532,565,33184,41672
63781302141544,562,33560,42576
63781302141553,568,33646,43618
63781302141563,567,34442,44792
63781302141573,566,34936,45578
63781302141589,579,35292,46568
63781302141592,563,35572,47214
63781302141627,541,35880,47920
63781302141633,539,36090,48460
63781302141633,541,36264,48916
63781302141635,555,35928,49176
63781302141639,566,36520,49544
63781302141654,580,36016,49772
63781302141665,594,36540,49940
63781302141672,605,36414,49970
63781302141682,611,36244,49840
63781302141692,617,35832,50361
63781302141703,618,35538,50648
63781302141713,618,35172,51036
63781302141723,622,34666,51372
63781302141727,636,34672,51692
63781302141740,646,34412,52084
63781302141750,657,33969,52505
63781302141760,669,34209,52944
63781302141776,673,33818,53456
63781302141787,686,33908,54024
63781302141813,703,33280,54444
63781302141843,702,33534,54888
63781302141843,699,33178,55391
63781302141845,693,32184,55680
63781302141848,704,32600,55984
63781302141850,711,32585,56044
63781302141853,697,32692,56072
63781302141859,688,32730,56052
63781302141874,682,32816,55840
63781302141878,678,32480,55524
63781302141893,671,32868,55138
63781302141904,659,32592,54738
63781302141914,661,32677,54392
63781302141927,652,31884,54192
63781302141960,642,32739,53624
63781302141960,628,32666,53368
63781302141963,620,32354,52916
63781302141965,605,32962,52232
63781302141972,600,32780,51577
63781302141983,597,32448,51000
63781302141990,592,32828,50321
63781302142000,594,32736,49560
63781302142015,598,32420,49218
63781302142019,597,32396,48738
63781302142034,599,32074,48370
63781302142040,586,32005,48208
63781302142052,575,31272,48144
63781302142063,563,31928,48016
63781302142078,560,32114,48264
63781302142084,552,31834,48288
63781302142094,554,32624,48500
63781302142105,544,32848,48584
63781302142115,543,33028,48730
63781302142119,533,33208,48748
63781302142134,533,32988,48340
63781302142140,526,33257,48600
63781302142178,530,33369,48624
63781302142202,531,33988,48458
63781302142204,547,34056,48212
63781302142207,556,33796,48052
63781302142209,555,33888,47944
63781302142212,565,34138,47660
63781302142214,564,34200,47712
63781302142220,566,33686,47208
63781302142235,583,33850,47520
63781302142242,581,34296,47378
63781302142248,588,34344,47384
63781302142267,592,34336,47192
63781302142269,595,34328,46952
63781302142284,598,34334,46776
63781302142290,600,34185,46544
63781302142307,602,34496,46168
63781302142309,597,34588,45926
63781302142324,596,34704,45712
63781302142328,607,34660,45580
63781302142344,604,34824,45500
63781302142350,609,35780,45224
63781302142368,614,35512,45016
63781302142370,610,36523,45098
63781302142387,599,36570,45067
63781302142393,602,37160,44840
63781302142403,602,37140,44852
63781302142413,601,36904,44808
63781302142424,599,37170,44220
63781302142434,580,37213,44516
63781302142438,571,37040,44192
63781302142453,571,36920,43878
63781302142464,574,36494,43580
63781302142474,574,36476,43464
63781302142484,577,36458,42892
63781302142494,571,35996,42632
63781302142498,578,36060,42080
63781302142513,575,35816,41776
63781302142548,579,35499,41532
63781302142573,585,35340,41156
63781302142604,591,35416,41002
63781302142606,597,35088,40800
63781302142609,596,34672,40368
63781302142611,601,34424,40000
63781302142614,602,34492,39603
63781302142616,608,34178,39244
63781302142619,604,34428,38836
63781302142621,608,34489,38226
63781302142624,609,34118,38056
63781302142651,615,34264,37527
63781302142652,615,33741,37272
63781302142654,613,34200,36892
63781302142660,618,34356,36608
63781302142675,617,34253,36138
63781302142679,617,34380,35964
63781302142689,619,34552,35944
63781302142705,617,34394,35784
63781302142710,619,34997,35816
63781302142725,621,34672,35953
63781302142731,626,34987,36220
63781302142748,626,35366,36488
63781302142751,622,35674,36884
63781302142773,626,35450,37118
63781302142773,627,35972,37392
63781302142784,626,36133,37604
63781302142794,627,36268,37772
63781302142806,630,36192,37736
63781302142813,633,36500,37674
63781302142819,634,36288,37640
63781302142834,635,36896,37520
63781302142840,638,36912,37280
63781302142855,637,36722,36986
63781302142859,640,37044,36706
63781302142874,636,37212,36664
63781302142884,649,37448,36556
63781302142888,653,37584,36408
63781302142916,669,37584,36352
63781302142944,680,37384,36320
63781302142946,673,37688,36104
63781302142950,660,37836,36152
63781302142952,665,37852,36040
63781302142955,658,38120,35848
63781302142962,663,38208,35844
63781302142972,670,38144,35708
63781302142984,670,38264,35568
63781302142991,678,38828,35688
63781302139705,632,52720,33862
63781302139711,630,52570,33896
63781302139722,637,52456,33874
63781302139732,634,52288,33880
63781302139743,633,52085,33892
63781302139750,635,51680,34052
63781302139760,639,51528,34132
63781302139775,629,51180,34242
63781302139778,625,50320,34328
63781302139793,624,50386,34288
63781302139801,623,49904,34152
63781302139811,619,49844,33768
63781302139826,621,49136,33370
63781302139828,621,49680,32978
63781302139843,623,49651,32472
63781302139850,612,49792,31856
63781302139866,614,49744,30968
63781302139870,608,49648,29688
63781302139885,615,50388,28136
63781302139888,611,50696,25910
63781302139905,614,50745,23782
63781302139908,614,50684,21314
63781302139923,615,50696,19238
63781302139932,619,50364,17262
63781302139938,613,50316,15455
63781302139978,611,50000,14413
63781302139995,609,49758,13640
63781302139997,606,49559,13506
63781302140000,602,49040,13698
63781302140002,595,48654,14055
63781302140004,598,48144,14528
63781302140040,597,47336,15000
63781302140042,598,47392,15508
63781302140044,603,47104,16072
63781302140047,611,46664,16780
63781302140057,609,46232,17572
63781302140061,619,45760,18183
63781302140085,630,45018,18966
63781302140085,632,44682,19460
63781302140088,642,44208,19865
63781302140104,641,43306,20048
63781302140108,642,42898,20114
63781302140123,642,42048,20136
63781302140127,637,40307,19962
63781302140146,643,40132,19454
63781302140149,634,38874,18869
63781302140164,631,37860,17912
63781302140168,631,36829,16602
63781302140185,626,35509,15297
63781302140188,619,34730,14024
63781302140203,613,33948,12542
63781302140207,611,33196,10792
63781302140223,616,32188,8886
63781302140229,602,31286,6986
63781302140244,601,29840,5182
63781302140251,600,29396,3685
63781302140262,603,28348,2731
63781302140268,601,27537,1864
63781302140283,603,26641,1267
63781302140289,602,25447,878
63781302140306,608,25008,433
63781302140309,608,23914,389
63781302140338,617,23708,843
63781302140368,614,22684,1543
