UnityTS,GSR,breath,heart
63781301994305,692,46008,37336
63781301994315,689,46454,37188
63781301994325,692,46706,37109
63781301994336,687,46708,36852
63781301994346,685,46970,36722
63781301994356,688,47248,36635
63781301994361,690,47496,36446
63781301994377,685,47612,36352
63781301994381,693,47776,36388
63781301994396,687,47984,36397
63781301994400,689,47912,36200
63781301994416,688,48128,36336
63781301994461,688,48392,36200
63781301994465,690,48420,36169
63781301994465,691,48688,36245
63781301994471,685,48736,36042
63781301994473,688,48912,36040
63781301994476,691,48764,35824
63781301994483,687,49034,35730
63781301994510,689,49164,35492
63781301994512,691,49338,35252
63781301994515,689,49344,35028
63781301994525,691,49500,34848
63781301994536,689,49584,34522
63781301994546,688,49569,34268
63781301994563,685,49636,33984
63781301994564,693,49513,33714
63781301994577,686,49576,33486
63781301994581,691,49687,33236
63781301994596,685,49712,32956
63781301994602,687,49538,32824
63781301994613,687,49559,32621
63781301994623,696,49725,32450
63781301994634,689,49680,32392
63781301994643,687,49500,32116
63781301994660,688,49434,31964
63781301994662,688,49376,31852
63781301994678,689,49492,31876
63781301994683,689,49537,31606
63781301994695,690,49395,31513
63781301994705,691,49532,31564
63781301994715,689,49288,31409
63781301994725,690,49136,31364
63781301994753,688,49280,31188
63781301994767,689,49216,31072
63781301994770,690,49140,31000
63781301994772,690,48704,30724
63781301994775,686,48832,30732
63781301994813,688,48448,30525
63781301994835,686,48428,30544
63781301994837,694,48152,30548
63781301994840,690,47800,30744
63781301994842,690,47580,31164
63781301994845,689,47234,31844
63781301994847,687,46958,32729
63781301994853,692,46682,33848
63781301994868,693,46352,35206
63781301994871,686,46018,36320
63781301994887,691,45531,37456
63781301994891,692,45312,38480
63781301994906,687,45040,39368
63781301994912,682,44648,40106
63781301994927,688,44689,40519
63781301994931,687,44402,41012
63781301994946,696,44130,41264
63781301994952,687,43798,41392
63781301994975,693,43344,41328
63781301994978,686,42964,41472
63781301994988,688,42830,41421
63781301994996,688,42488,41372
63781301995000,691,42248,41222
63781301995016,690,41812,41048
63781301995022,688,41783,40912
63781301995037,689,41268,40672
63781301995041,688,40428,40440
63781301995057,689,39832,40090
63781301995061,690,40212,39736
63781301995076,688,40090,39444
63781301995080,689,39789,39140
63781301995100,687,39298,38736
63781301995102,692,38800,38548
63781301995117,689,38260,38464
63781301995121,690,37880,38268
63781301995137,691,37206,38154
63781301995141,694,37428,38018
63781301995169,690,36808,37794
63781301995196,692,36788,37524
63781301995211,686,36485,37440
63781301995213,688,35984,37104
63781301995216,692,35713,36950
63781301995218,690,35488,36667
63781301995221,685,34816,36220
63781301995223,687,34832,36104
63781301995238,690,34480,35573
63781301995244,690,33696,35288
63781301995251,688,33978,34937
63781301995266,690,33548,34728
63781301995276,687,33356,34292
63781301995286,689,33072,34027
63781301995297,693,32879,33752
63781301995307,689,32335,33498
63781301995317,689,31710,33192
63781301995321,690,32044,32942
63781301995337,689,32076,32768
63781301995343,696,31857,32507
63781301995358,688,31564,32236
63781301995362,689,31433,31988
63781301995397,693,30676,31880
63781301995399,691,31014,31749
63781301995402,686,30528,31566
63781301995404,688,30104,31412
63781301995416,687,30500,31311
63781301995426,688,30258,31152
63781301995436,690,29828,31008
63781301995442,684,29724,30914
63781301995458,689,29434,30636
63781301995473,689,29608,30604
63781301995477,692,29569,30372
63781301995487,692,29230,30300
63781301995498,680,29224,30078
63781301995508,690,28949,30022
63781301995512,693,28736,29828
63781301995539,692,28496,29884
63781301995568,690,27932,30024
63781301995573,689,27616,30640
63781301995576,691,27998,31419
63781301995578,691,27468,32224
63781301995583,693,27154,33607
63781301995585,691,27590,34976
63781301995593,693,27548,36452
63781301995608,695,27096,37664
63781301995612,693,27394,38913
63781301995627,691,26928,40012
63781301995635,688,26784,40920
63781301995642,689,26936,41540
63781301995658,689,27044,41833
63781301995662,691,27056,42026
63781301995677,694,27172,42498
63781301995687,691,26472,42540
63781301995698,687,27161,42516
63781301995704,690,27133,42376
63781301995714,692,27144,42150
63781301995724,695,27002,42088
63781301995737,688,27648,41880
63781301995743,695,27816,41768
63781301995758,687,27690,41300
63781301995762,694,27600,40841
63781301995778,692,28218,40660
63781301995784,689,28016,40016
63781301995799,693,28440,39408
63781301995803,690,28432,39388
63781301995823,690,28546,39074
63781301995824,688,28776,38688
63781301995839,688,28900,38400
63781301995842,692,28820,38172
63781301995858,689,29010,38068
63781301995862,689,29076,37656
63781301995877,687,29108,37644
63781301995908,692,29008,37300
63781301995935,691,28344,37160
63781301995943,691,28584,36892
63781301995948,690,28365,36732
63781301995950,691,28604,36016
63781301995953,689,27988,35692
63781301995955,694,27954,35586
63781301995958,693,28436,35022
63781301995965,692,27916,34836
63781301995977,690,28096,34430
63781301995987,692,28342,34138
63781301995997,690,28434,33880
63781301996007,693,28497,33370
63781301996037,688,28306,33164
63781301996040,691,28250,32752
63781301996040,687,28685,32682
63781301996043,690,28700,32384
63781301996057,692,28524,32306
63781301996063,696,28514,32000
63781301996078,691,27824,31909
63781301996082,691,28068,31688
63781301996098,688,27636,31474
63781301996102,687,27365,31368
63781301996117,691,27159,31221
63781301996127,688,26947,31174
63781301996138,687,27192,31096
63781301996148,692,26349,30876
