UnityTS,GSR,breath,heart
63781304283255,529,43248,38112
63781304283265,530,43496,37712
63781304283268,526,43832,37480
63781304283270,525,43996,37128
63781304283273,521,44060,36876
63781304283275,520,44392,36564
63781304283285,517,44707,36304
63781304283293,523,44820,35929
63781304283309,519,45096,35616
63781304283313,522,45035,35269
63781304283325,520,45456,34968
63781304283335,519,45580,34833
63781304283351,519,45904,34616
63781304283355,514,46173,34334
63781304283365,513,46264,34256
63781304283375,513,46802,34288
63781304283404,509,47136,34182
63781304283406,504,47460,34138
63781304283409,498,47264,34189
63781304283413,498,48084,34100
63781304283428,497,48336,34122
63781304283435,498,48042,33995
63781304283450,494,48876,33978
63781304283456,498,49200,33908
63781304283473,499,49368,33776
63781304283476,497,49417,33704
63781304283483,493,49660,33612
63781304283498,491,49968,33404
63781304283504,487,50138,33220
63781304283519,485,50216,32956
63781304283523,482,50396,32881
63781304283536,478,50580,32780
63781304283543,475,50720,32611
63781304283558,470,50928,32492
63781304283564,470,51170,32352
63781304283579,469,51466,32200
63781304283583,474,51760,32274
63781304283623,480,51720,32070
63781304283629,482,52044,32108
63781304283631,486,52344,31844
63781304283634,481,52360,31857
63781304283639,481,52992,31874
63781304283645,478,53345,32032
63781304283655,474,53764,32184
63781304283671,472,54156,32533
63781304283674,472,54668,32841
63781304283684,470,54692,33165
63781304283699,468,54837,33940
63781304283703,469,55000,34592
63781304283718,467,55024,35457
63781304283724,470,55024,36290
63781304283734,471,54996,37100
63781304283755,474,54828,37852
63781304283757,481,54248,38794
63781304283767,483,54489,39720
63781304283782,484,54032,40968
63781304283786,490,54036,42472
63781304283801,500,53760,44084
63781304283803,505,53332,45648
63781304283819,508,52888,46928
63781304283822,513,52272,48002
63781304283837,517,51824,48782
63781304283847,517,51032,49380
63781304283855,517,49820,49748
63781304283871,519,49440,49442
63781304283873,518,48728,49089
63781304283888,520,47758,48686
63781304283895,519,47136,48072
63781304283911,516,46336,47638
63781304283915,520,45892,47120
63781304283930,511,45424,46369
63781304283933,512,44992,45692
63781304283950,502,44708,45116
63781304283986,498,44186,44492
63781304284002,496,44160,43772
63781304284005,489,43826,42874
63781304284007,486,43984,42192
63781304284012,482,43906,41324
63781304284015,476,43720,40349
63781304284017,471,43953,39144
63781304284042,449,44132,38136
63781304284052,447,44315,36908
63781304284055,426,44628,35650
63781304284060,411,45172,34600
63781304284063,405,45480,33484
63781304284078,389,45808,32504
63781304284085,365,46112,31668
63781304284100,352,46338,30553
63781304284103,349,46720,29292
63781304284118,357,47053,27917
63781304284122,360,47408,26410
63781304284137,389,47760,24892
63781304284148,407,48177,23922
63781304284158,430,48522,23138
63781304284168,450,48906,22640
63781304284178,473,49264,22676
63781304284182,476,49574,22798
63781304284197,484,49888,23028
63781304284207,487,50000,23455
63781304284217,490,50520,23864
63781304284233,486,50848,23880
63781304284237,479,50916,23742
63781304284252,481,51232,23192
63781304284254,477,51316,22582
63781304284270,472,51496,21666
63781304284275,471,51305,21104
63781304284285,462,51352,20827
63781304284295,463,51368,20818
63781304284312,465,51192,21258
63781304284314,476,51092,21768
63781304284355,486,51080,22341
63781304284373,499,51016,22023
63781304284375,510,50812,21150
63781304284378,518,50712,20012
63781304284384,522,50276,18398
63781304284386,515,49984,16465
63781304284389,513,49636,15069
63781304284393,510,49320,13444
63781304284408,506,48964,11949
63781304284418,502,48498,10725
63781304284429,502,48008,9697
63781304284439,507,47412,8987
63781304284443,504,46586,8522
63781304284458,506,46160,8231
63781304284464,503,45248,8116
63781304284479,513,44898,7967
63781304284485,502,44296,8040
63781304284495,503,43704,8250
63781304284501,493,42924,8365
63781304284517,492,42252,8328
63781304284526,483,41345,8364
63781304284537,482,40668,8417
63781304284548,483,40132,8534
63781304284558,489,38968,8481
63781304284573,490,38840,8678
63781304284575,500,38100,8828
63781304284586,504,37316,9075
63781304284594,521,36836,9396
63781304284609,521,36140,9530
63781304284615,523,35228,9958
63781304284632,525,33915,10192
63781304284634,529,33920,10674
63781304284649,531,33113,11041
63781304284653,537,32444,11438
63781304284684,535,32184,12032
63781304284686,536,31440,12678
63781304284715,534,30656,13180
63781304284738,530,29978,13708
63781304284740,521,28888,14260
63781304284743,514,28366,14886
63781304284745,510,27449,15168
63781304284748,509,26622,15352
63781304284750,504,25921,15605
63781304284754,500,25001,15776
63781304284778,499,24260,15988
63781304284778,504,22864,16330
63781304284781,508,22336,16584
63781304284799,510,21764,16771
63781304284803,500,20768,16988
63781304284818,497,20166,17216
63781304284824,493,19582,17434
63781304284834,485,19136,17736
63781304284849,482,18596,18236
63781304284853,482,18261,18856
63781304284869,483,17994,19590
63781304284875,476,17734,20560
63781304284890,471,17414,21528
63781304284903,481,16980,22586
63781304284903,477,17080,23650
63781304284918,474,16902,24648
63781304284921,468,16814,25493
63781304284936,459,16716,26348
63781304284948,446,16432,27052
63781304284951,440,16257,27615
63781304284966,432,16346,28388
63781304284974,434,16316,28882
63781304284990,437,16306,29315
63781304284994,439,16230,29622
63781304285006,444,15882,30160
63781304285013,449,16070,30492
63781304285029,454,15738,30686
63781304285033,459,15812,31192
63781304285048,460,15719,31690
63781304285054,469,15424,31768
63781304285081,470,15360,32072
63781304285103,470,15536,32292
63781304285110,472,15445,32488
63781304285110,476,15123,32676
63781304285113,479,15188,32889
63781304285115,479,14896,32932
63781304285130,482,14838,32820
63781304285134,487,14856,33174
63781304285145,488,14653,33409
63781304285155,490,14510,33753
63781304285165,497,14342,33708
63781304285190,496,14166,33897
63781304285193,497,14282,34122
63781304285195,501,14096,34232
63781304285205,505,14284,34538
63781304285214,505,14322,34752
63781304285230,503,14360,35188
63781304285233,505,14448,35896
63781304285248,508,14500,36434
63781304285254,509,14476,37236
63781304285270,508,14448,37452
63781304285286,514,14765,38314
63781304285286,515,14882,38800
63781304285293,517,14989,39256
63781304285326,518,15064,39464
63781304285329,522,15462,39900
63781304285331,524,15672,40840
63781304285334,529,15867,41369
63781304285345,532,15821,41852
63781304285355,537,16232,41704
63781304285365,540,16348,42186
63781304285375,541,16418,42084
63781304285391,549,16540,41796
63781304285394,552,16776,41624
63781304285404,560,16980,41498
63781304285414,564,16888,41552
63781304285478,568,17005,42128
63781304285480,576,17433,43129
63781304285482,577,17360,44016
63781304285486,580,17663,44928
63781304285489,583,17896,45488
63781304285491,588,18258,46748
63781304285493,574,18502,47812
63781304285496,570,18738,48530
63781304285507,552,18834,48986
63781304285517,541,19216,49180
63781304285527,530,19260,49184
63781304281837,445,34812,20736
63781304281853,434,33578,22302
63781304281855,431,32409,23944
63781304281870,414,31302,25352
63781304281874,415,30652,26691
63781304281889,425,29764,28028
63781304281893,437,28608,29513
63781304281909,449,28242,30677
63781304281913,459,27572,31880
63781304281928,461,26484,32846
63781304281938,467,25570,33458
63781304281942,472,25316,34160
63781304281958,482,25212,34304
63781304281962,489,24788,33783
63781304281977,493,24624,33060
63781304281988,494,24603,31944
63781304281998,499,24688,30696
63781304282008,498,24780,29468
63781304282012,498,25056,28389
63781304282028,497,25364,27328
63781304282034,505,25596,26479
63781304282049,506,25838,25708
63781304282053,509,25976,25023
63781304282064,502,25800,24392
63781304282072,499,25648,23980
63781304282087,497,25746,23840
63781304282097,498,25396,23820
63781304282124,497,24720,24026
63781304282149,495,24891,24265
63781304282174,487,24664,24572
63781304282177,481,24045,24701
63781304282179,476,23708,24980
63781304282182,474,23714,25268
63781304282184,477,23672,26352
63781304282187,476,23868,26076
63781304282189,466,24105,25884
63781304282197,468,24034,26474
63781304282207,472,24016,26962
63781304282213,468,24290,26944
63781304282229,463,24144,26758
63781304282235,470,24780,26724
63781304282250,474,25308,26316
63781304282254,472,25048,26006
63781304282270,472,25780,25760
63781304282275,473,26560,25890
63781304282285,480,27296,26294
63781304282295,477,27176,26766
63781304282312,475,28194,27148
63781304282315,474,28849,27348
63781304282330,475,30085,27074
63781304282333,477,30862,26446
63781304282349,477,31667,25629
63781304282353,478,32322,24723
63781304282368,486,33008,23956
63781304282378,503,33680,23460
63781304282388,517,34449,23216
63781304282395,541,34908,23160
63781304282405,545,35468,23452
63781304282415,543,35824,23658
63781304282427,539,36441,23860
63781304282437,544,36488,24106
63781304282447,540,37421,24122
63781304282453,538,38158,24238
63781304282469,535,38408,24249
63781304282473,533,39392,24378
63781304282510,530,40060,24658
63781304282532,525,40108,24872
63781304282534,520,41456,25196
63781304282537,514,41960,25328
63781304282539,504,42487,25509
63781304282542,488,43024,25734
63781304282545,472,43461,26168
63781304282560,463,43800,26592
